# TRACY II v. 2.6 -- fmap.out -- Thu Jun 12 14:50:18 2008 
# nu = f(x) 
#    x[mm]          z[mm]           fx             fz            dfx            dfz      D=log_10(sqrt(df_x^2+df_y^2))
 -2.499900e+01   1.000000e-03   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   1.370306e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   1.937492e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   2.372708e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   2.739613e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   3.062862e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   3.355102e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   3.623844e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   3.873983e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   4.108919e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   4.331127e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   4.542476e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   4.744416e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   4.938104e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   5.124475e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   5.304301e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   5.478226e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   5.646795e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   5.810475e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   5.969668e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   6.124724e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
 -2.499900e+01   6.275950e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00  -2.000000e+00
