
n = 1:
  qf_s(1) =   5.7090296 3
  qf_s(2) =   5.7090296 3
  qf_s(3) =   5.7090296 3
  qf_s(4) =   5.7090296 3
  qf_s(5) =   5.7090296 3
  qf_s(6) =   5.7090296 3
  qf_s(7) =   5.7090296 3
  qf_s(8) =   5.7090296 3
  qf_s(9) =   5.7090296 3
  qf_s(10) =   5.7090296 3
    ds(1) = -10.0110653 3
    ds(2) = -10.0110653 3
    ds(3) = -10.0110653 3
    ds(4) = -10.0110653 3
    ds(5) = -10.0110653 3
    ds(6) = -10.0110653 3
    ds(7) = -10.0110653 3
    ds(8) = -10.0110653 3
    ds(9) = -10.0110653 3
    ds(10) = -10.0110653 3

n = 2:
  qf_s(1) =   5.7090291 3
  qf_s(2) =   5.7090291 3
  qf_s(3) =   5.7090291 3
  qf_s(4) =   5.7090291 3
  qf_s(5) =   5.7090291 3
  qf_s(6) =   5.7090291 3
  qf_s(7) =   5.7090291 3
  qf_s(8) =   5.7090291 3
  qf_s(9) =   5.7090291 3
  qf_s(10) =   5.7090291 3
    ds(1) = -10.0110629 3
    ds(2) = -10.0110629 3
    ds(3) = -10.0110629 3
    ds(4) = -10.0110629 3
    ds(5) = -10.0110629 3
    ds(6) = -10.0110629 3
    ds(7) = -10.0110629 3
    ds(8) = -10.0110629 3
    ds(9) = -10.0110629 3
    ds(10) = -10.0110629 3

n = 3:
  qf_s(1) =   5.7090289 3
  qf_s(2) =   5.7090289 3
  qf_s(3) =   5.7090289 3
  qf_s(4) =   5.7090289 3
  qf_s(5) =   5.7090289 3
  qf_s(6) =   5.7090289 3
  qf_s(7) =   5.7090289 3
  qf_s(8) =   5.7090289 3
  qf_s(9) =   5.7090289 3
  qf_s(10) =   5.7090289 3
    ds(1) = -10.0110616 3
    ds(2) = -10.0110616 3
    ds(3) = -10.0110616 3
    ds(4) = -10.0110616 3
    ds(5) = -10.0110616 3
    ds(6) = -10.0110616 3
    ds(7) = -10.0110616 3
    ds(8) = -10.0110616 3
    ds(9) = -10.0110616 3
    ds(10) = -10.0110616 3

n = 4:
  qf_s(1) =   5.7090288 3
  qf_s(2) =   5.7090288 3
  qf_s(3) =   5.7090288 3
  qf_s(4) =   5.7090288 3
  qf_s(5) =   5.7090288 3
  qf_s(6) =   5.7090288 3
  qf_s(7) =   5.7090288 3
  qf_s(8) =   5.7090288 3
  qf_s(9) =   5.7090288 3
  qf_s(10) =   5.7090288 3
    ds(1) = -10.0110610 3
    ds(2) = -10.0110610 3
    ds(3) = -10.0110610 3
    ds(4) = -10.0110610 3
    ds(5) = -10.0110610 3
    ds(6) = -10.0110610 3
    ds(7) = -10.0110610 3
    ds(8) = -10.0110610 3
    ds(9) = -10.0110610 3
    ds(10) = -10.0110610 3

n = 5:
  qf_s(1) =   5.7090287 3
  qf_s(2) =   5.7090287 3
  qf_s(3) =   5.7090287 3
  qf_s(4) =   5.7090287 3
  qf_s(5) =   5.7090287 3
  qf_s(6) =   5.7090287 3
  qf_s(7) =   5.7090287 3
  qf_s(8) =   5.7090287 3
  qf_s(9) =   5.7090287 3
  qf_s(10) =   5.7090287 3
    ds(1) = -10.0110607 3
    ds(2) = -10.0110607 3
    ds(3) = -10.0110607 3
    ds(4) = -10.0110607 3
    ds(5) = -10.0110607 3
    ds(6) = -10.0110607 3
    ds(7) = -10.0110607 3
    ds(8) = -10.0110607 3
    ds(9) = -10.0110607 3
    ds(10) = -10.0110607 3

n = 6:
  qf_s(1) =   5.7090287 3
  qf_s(2) =   5.7090287 3
  qf_s(3) =   5.7090287 3
  qf_s(4) =   5.7090287 3
  qf_s(5) =   5.7090287 3
  qf_s(6) =   5.7090287 3
  qf_s(7) =   5.7090287 3
  qf_s(8) =   5.7090287 3
  qf_s(9) =   5.7090287 3
  qf_s(10) =   5.7090287 3
    ds(1) = -10.0110605 3
    ds(2) = -10.0110605 3
    ds(3) = -10.0110605 3
    ds(4) = -10.0110605 3
    ds(5) = -10.0110605 3
    ds(6) = -10.0110605 3
    ds(7) = -10.0110605 3
    ds(8) = -10.0110605 3
    ds(9) = -10.0110605 3
    ds(10) = -10.0110605 3
